Threshold,Precision,Recall
0.00071652525,0.5141451414514145,1.0
0.0007318373,0.5142083897158322,1.0
0.0007366591,0.5142716535433071,1.0
0.00074197596,0.5143349329395841,1.0
0.00075323123,0.514398227910411,1.0
0.00075612584,0.5144615384615384,1.0
0.0007611452,0.5145248645987198,1.0
0.00078682613,0.5145882063277114,1.0
0.0008100824,0.5146515636542723,1.0
0.00081642694,0.5147149365841646,1.0
0.00082901074,0.5147783251231527,1.0
0.00083169894,0.5148417292770046,1.0
0.0009254052,0.5149051490514905,1.0
0.000950543,0.5149685844523839,1.0
0.0009915588,0.5150320354854608,1.0
0.0010155115,0.5150955021565004,1.0
0.0010453357,0.5151589844712842,1.0
0.0010455507,0.5152224824355972,1.0
0.001057567,0.5152859960552268,1.0
0.0010659797,0.5153495253359635,1.0
